Age,Income,SpendingScore
62,46768.70667640028,95.23813748641749
65,57211.41714733404,12.307033682387523
18,75577.80079496015,81.62534866314515
21,31396.11801686793,67.55500963839897
21,47542.79112327186,4.241051055118936
57,64243.413913086886,40.485905151098514
27,52294.6095054819,32.5265977768192
37,60671.021425583735,11.216120026478087
39,79287.89844543896,31.675398423193716
68,28466.58457026662,12.126717806688573
54,70268.09309967447,1.3821426018429186
41,31219.659350958864,88.87236410513079
24,65806.27584776084,16.527458475249993
42,57483.053804307274,49.296014050264596
42,43023.43077739906,6.485361643884068
30,48533.08138679638,81.37839684183722
19,49490.031208397886,75.85129542355098
56,54765.91785370969,82.15594422943154
57,52719.06891611361,71.7686754967451
41,56916.723005205415,85.1901117931049
64,56768.24859407996,30.435185720939675
42,25352.07528890424,27.990910130322536
35,44154.89076068459,5.172949071172165
55,46814.525807367245,97.17652317702566
43,43814.03388378716,31.296257930759445
31,40625.64917348299,23.51496496861045
26,47267.48582160429,7.757070086118544
27,53162.88284583195,43.55251919049343
38,22216.310844025065,81.05220488284007
69,39399.92690187696,32.63966654674701
34,60120.506951297764,78.25662991674355
69,51933.91604549245,77.61495714062688
23,63495.825284187296,93.71519729671498
33,53314.05122903354,26.424490639258497
65,39999.482439292435,58.919542702156214
18,59739.29590210082,93.01479498055986
36,39737.36950331111,24.24971764986358
53,58746.26411182092,14.348368315745141
42,53334.74180111817,38.664517870709766
67,38534.69446578776,91.1305456161464
69,37991.279518545845,75.20414529313807
47,46500.70875797171,4.710289544728032
37,46928.378388471174,77.55294400339987
37,23776.41538139568,45.73130387199596
32,70311.25039656325,66.96571951473034
57,988.6608902136286,71.33783381766968
50,49696.13998213694,55.745449105926376
19,41414.890018305865,69.9711479202767
27,26598.72145487198,63.896075965512324
50,46310.33095064054,68.45223168758338
49,45555.12213122899,11.286244159815611
28,65804.76396841882,75.98631658156768
41,46425.19074362911,49.60464420658222
53,49113.05612989695,19.689409662597022
29,72423.35489592521,31.843274343629542
68,32621.671483017202,62.432823831450044
46,60929.626880545926,96.42688453790036
52,53309.53483170532,19.620020150971175
18,31918.097503887646,89.63394744591051
18,67658.11347102915,65.03076919537787
54,63721.46634931328,50.25050512601236
23,42434.40840215127,37.64932927661781
56,38956.303252225276,16.240337016435674
58,63917.88161566464,12.943981418956232
35,57464.686747228465,13.962544930086567
33,75933.25772273849,23.585155985647138
22,61017.935865063555,85.41076469925902
59,14175.79879054497,25.26648866634936
60,53738.758078673054,36.29200384606095
49,40640.18297904912,93.26333700653676
19,60430.48799990941,48.54925428995998
19,54854.38270345851,59.61673298185322
57,56514.30291257094,83.04469589524258
59,58383.47642755021,15.142749255934659
53,62640.85356822784,53.83858903734736
56,70894.6504325,10.78177715705108
29,55513.26775125803,54.735481772382336
64,21512.47835746208,59.843487273713635
36,27021.426302787477,55.062847334079464
45,51140.03272513441,37.064172897165754
18,42090.208692903776,84.99541294803942
32,47679.64447078428,31.653752114371475
53,45510.91466090342,76.62882703331083
30,60627.615268967245,45.39972930374035
60,41302.62310942014,80.73669555781122
38,75348.91240226469,79.36220975998955
29,43601.02450633564,82.26909856038934
22,47046.0962662642,69.39620638781378
24,21979.10239320966,76.03821911068626
22,30390.589276875897,78.19506830338729
65,43391.61058788117,75.38329633786901
21,35017.619856597536,39.81591508412574
30,34271.57917551957,20.546689662888273
54,58578.367222484434,97.04295636581512
58,52254.03650519954,26.37470419910189
32,61827.10797798169,98.05713284373603
33,81528.19472651374,11.116236933421492
38,40232.345921190274,82.87047083271263
53,55060.41308525414,21.94028019333237
41,25631.270766126672,83.26386680739594
33,45671.47816252245,7.849295664571634
31,44679.79962021266,86.80359493355559
39,36056.48719550778,42.417979333259886
66,50486.87077490117,92.55766249358956
67,45252.72947046128,64.58565364169527
23,65990.86673841118,52.11995151304858
59,56957.88241963987,57.15681501511652
